Foresight,Backsight,Xlist,Ylist,Elevation,InstrumentHeight

0.0,0.725,680411.0,4912015.0,263.072,263.072

1.552,1.6,680394.0,4911989.0,262.395,263.947

2.281,1.9,680413.0,4911950.0,261.96599999999995,264.24699999999996

2.191,2.758,680434.0,4911925.0,262.914,265.10499999999996

1.126,1.97,680397.0,4911928.0,263.19100000000003,264.317

1.099,1.882,680380.0,4911968.0,263.13,264.229

1.301,1.777,680389.0,4911976.0,262.823,264.12399999999997

2.235,2.1,680339.0,4912053.0,262.212,264.447

1.539,1.389,680375.0,4912008.0,262.197,263.736

